2023-05-04 18:11:55.9792|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9792|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:56.8758|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 9986 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
