2023-05-25 17:20:45.6615|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui.css|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-05-25 17:20:45.6615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.6903|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui.css|action: |Microsoft.AspNetCore.Internal.RangeHelper.ParseRange
2023-05-25 17:20:45.6982|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending HEADERS frame for stream ID 5 with length 79 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui.css|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.6982|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.6982|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.6982|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.6982|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.7739|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.7759|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.7759|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.7759|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:45.8166|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 12560 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
