2023-04-13 19:44:52.7526|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.7788|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 3 with length 11990 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.7788|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8619|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8619|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 9986 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
