2023-05-15 18:58:13.7710|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.7710|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.7710|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 1 with length 992 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.7710|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.7790|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.8756|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-15 18:58:13.8605|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.9292|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.9388|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 3 with length 11990 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:13.9920|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.3524|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 9986 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5206|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
